	support	itemsets	length
115	0.1893	['F0', 'F4', 'F7']	3
116	0.1893	['F0', 'F4', 'F8']	3
117	0.1893	['F0', 'F4', 'F9']	3
118	0.4524	['F0', 'F5', 'F6']	3
119	0.1305	['F0', 'F5', 'F8']	3
120	0.4524	['F0', 'F5', 'F9']	3
121	0.1893	['F0', 'F6', 'F7']	3
122	0.3198	['F0', 'F6', 'F8']	3
123	0.6417	['F0', 'F6', 'F9']	3
124	0.1893	['F0', 'F7', 'F8']	3
125	0.1893	['F0', 'F7', 'F9']	3
126	0.3198	['F0', 'F8', 'F9']	3
127	0.4465	['F1', 'F2', 'F4']	3
128	0.4465	['F1', 'F2', 'F6']	3
129	0.4465	['F1', 'F2', 'F7']	3
130	0.4465	['F1', 'F2', 'F8']	3
131	0.4465	['F1', 'F2', 'F9']	3
132	0.4465	['F1', 'F4', 'F6']	3
133	0.4465	['F1', 'F4', 'F7']	3
134	0.4465	['F1', 'F4', 'F8']	3
135	0.4465	['F1', 'F4', 'F9']	3
136	0.4465	['F1', 'F6', 'F7']	3
137	0.4465	['F1', 'F6', 'F8']	3
138	0.4465	['F1', 'F6', 'F9']	3
139	0.4465	['F1', 'F7', 'F8']	3
140	0.4465	['F1', 'F7', 'F9']	3
141	0.4465	['F1', 'F8', 'F9']	3
142	0.4524	['F11', 'F12', 'F13']	3
143	0.4524	['F11', 'F12', 'F2']	3
144	0.4524	['F11', 'F12', 'F3']	3
145	0.4524	['F11', 'F12', 'F5']	3
146	0.4524	['F11', 'F12', 'F6']	3
147	0.1305	['F11', 'F12', 'F8']	3
148	0.4524	['F11', 'F12', 'F9']	3
149	0.4524	['F11', 'F13', 'F2']	3
150	0.4524	['F11', 'F13', 'F3']	3
151	0.4524	['F11', 'F13', 'F5']	3
152	0.4524	['F11', 'F13', 'F6']	3
153	0.1305	['F11', 'F13', 'F8']	3
154	0.4524	['F11', 'F13', 'F9']	3
155	0.4524	['F11', 'F2', 'F3']	3
156	0.4524	['F11', 'F2', 'F5']	3
157	0.4524	['F11', 'F2', 'F6']	3
158	0.1305	['F11', 'F2', 'F8']	3
159	0.4524	['F11', 'F2', 'F9']	3
160	0.4524	['F11', 'F3', 'F5']	3
161	0.4524	['F11', 'F3', 'F6']	3
162	0.1305	['F11', 'F3', 'F8']	3
163	0.4524	['F11', 'F3', 'F9']	3
164	0.4524	['F11', 'F5', 'F6']	3
165	0.1305	['F11', 'F5', 'F8']	3
166	0.4524	['F11', 'F5', 'F9']	3
167	0.1305	['F11', 'F6', 'F8']	3
168	0.4524	['F11', 'F6', 'F9']	3
169	0.1305	['F11', 'F8', 'F9']	3
170	0.4524	['F12', 'F13', 'F2']	3
171	0.4524	['F12', 'F13', 'F3']	3
172	0.4524	['F12', 'F13', 'F5']	3
173	0.4524	['F12', 'F13', 'F6']	3
174	0.1305	['F12', 'F13', 'F8']	3
175	0.4524	['F12', 'F13', 'F9']	3
176	0.4524	['F12', 'F2', 'F3']	3
177	0.4524	['F12', 'F2', 'F5']	3
178	0.4524	['F12', 'F2', 'F6']	3
179	0.1305	['F12', 'F2', 'F8']	3
180	0.4524	['F12', 'F2', 'F9']	3
181	0.4524	['F12', 'F3', 'F5']	3
182	0.4524	['F12', 'F3', 'F6']	3
183	0.1305	['F12', 'F3', 'F8']	3
184	0.4524	['F12', 'F3', 'F9']	3
185	0.4524	['F12', 'F5', 'F6']	3
186	0.1305	['F12', 'F5', 'F8']	3
187	0.4524	['F12', 'F5', 'F9']	3
188	0.1305	['F12', 'F6', 'F8']	3
189	0.4524	['F12', 'F6', 'F9']	3
190	0.1305	['F12', 'F8', 'F9']	3
191	0.4524	['F13', 'F2', 'F3']	3
192	0.4524	['F13', 'F2', 'F5']	3
193	0.4524	['F13', 'F2', 'F6']	3
194	0.1305	['F13', 'F2', 'F8']	3
195	0.4524	['F13', 'F2', 'F9']	3
196	0.4524	['F13', 'F3', 'F5']	3
197	0.4524	['F13', 'F3', 'F6']	3
198	0.1305	['F13', 'F3', 'F8']	3
199	0.4524	['F13', 'F3', 'F9']	3
200	0.4524	['F13', 'F5', 'F6']	3
201	0.1305	['F13', 'F5', 'F8']	3
202	0.4524	['F13', 'F5', 'F9']	3
203	0.1305	['F13', 'F6', 'F8']	3
204	0.4524	['F13', 'F6', 'F9']	3
205	0.1305	['F13', 'F8', 'F9']	3
206	0.4524	['F2', 'F3', 'F5']	3
207	0.4524	['F2', 'F3', 'F6']	3
208	0.1305	['F2', 'F3', 'F8']	3
209	0.4524	['F2', 'F3', 'F9']	3
210	0.4465	['F2', 'F4', 'F6']	3
211	0.4465	['F2', 'F4', 'F7']	3
212	0.4465	['F2', 'F4', 'F8']	3
213	0.4465	['F2', 'F4', 'F9']	3
214	0.4524	['F2', 'F5', 'F6']	3
215	0.1305	['F2', 'F5', 'F8']	3
216	0.4524	['F2', 'F5', 'F9']	3
217	0.4465	['F2', 'F6', 'F7']	3
218	0.577	['F2', 'F6', 'F8']	3
219	0.8989	['F2', 'F6', 'F9']	3
220	0.4465	['F2', 'F7', 'F8']	3
221	0.4465	['F2', 'F7', 'F9']	3
222	0.577	['F2', 'F8', 'F9']	3
223	0.4524	['F3', 'F5', 'F6']	3
224	0.1305	['F3', 'F5', 'F8']	3
225	0.4524	['F3', 'F5', 'F9']	3
226	0.1305	['F3', 'F6', 'F8']	3
227	0.4524	['F3', 'F6', 'F9']	3
228	0.1305	['F3', 'F8', 'F9']	3
229	0.4465	['F4', 'F6', 'F7']	3
230	0.4465	['F4', 'F6', 'F8']	3
231	0.4465	['F4', 'F6', 'F9']	3
232	0.4465	['F4', 'F7', 'F8']	3
233	0.4465	['F4', 'F7', 'F9']	3
234	0.4465	['F4', 'F8', 'F9']	3
235	0.1305	['F5', 'F6', 'F8']	3
236	0.4524	['F5', 'F6', 'F9']	3
237	0.1305	['F5', 'F8', 'F9']	3
238	0.4465	['F6', 'F7', 'F8']	3
239	0.4465	['F6', 'F7', 'F9']	3
240	0.577	['F6', 'F8', 'F9']	3
241	0.4465	['F7', 'F8', 'F9']	3
242	0.1893	['F0', 'F1', 'F2', 'F4']	4
243	0.1893	['F0', 'F1', 'F2', 'F6']	4
244	0.1893	['F0', 'F1', 'F2', 'F7']	4
245	0.1893	['F0', 'F1', 'F2', 'F8']	4
246	0.1893	['F0', 'F1', 'F2', 'F9']	4
247	0.1893	['F0', 'F1', 'F4', 'F6']	4
248	0.1893	['F0', 'F1', 'F4', 'F7']	4
249	0.1893	['F0', 'F1', 'F4', 'F8']	4
250	0.1893	['F0', 'F1', 'F4', 'F9']	4
251	0.1893	['F0', 'F1', 'F6', 'F7']	4
252	0.1893	['F0', 'F1', 'F6', 'F8']	4
253	0.1893	['F0', 'F1', 'F6', 'F9']	4
254	0.1893	['F0', 'F1', 'F7', 'F8']	4
255	0.1893	['F0', 'F1', 'F7', 'F9']	4
256	0.1893	['F0', 'F1', 'F8', 'F9']	4
257	0.4524	['F0', 'F11', 'F12', 'F13']	4
258	0.4524	['F0', 'F11', 'F12', 'F2']	4
259	0.4524	['F0', 'F11', 'F12', 'F3']	4
260	0.4524	['F0', 'F11', 'F12', 'F5']	4
261	0.4524	['F0', 'F11', 'F12', 'F6']	4
262	0.1305	['F0', 'F11', 'F12', 'F8']	4
263	0.4524	['F0', 'F11', 'F12', 'F9']	4
264	0.4524	['F0', 'F11', 'F13', 'F2']	4
265	0.4524	['F0', 'F11', 'F13', 'F3']	4
266	0.4524	['F0', 'F11', 'F13', 'F5']	4
267	0.4524	['F0', 'F11', 'F13', 'F6']	4
268	0.1305	['F0', 'F11', 'F13', 'F8']	4
269	0.4524	['F0', 'F11', 'F13', 'F9']	4
270	0.4524	['F0', 'F11', 'F2', 'F3']	4
271	0.4524	['F0', 'F11', 'F2', 'F5']	4
272	0.4524	['F0', 'F11', 'F2', 'F6']	4
273	0.1305	['F0', 'F11', 'F2', 'F8']	4
274	0.4524	['F0', 'F11', 'F2', 'F9']	4
275	0.4524	['F0', 'F11', 'F3', 'F5']	4
276	0.4524	['F0', 'F11', 'F3', 'F6']	4
277	0.1305	['F0', 'F11', 'F3', 'F8']	4
278	0.4524	['F0', 'F11', 'F3', 'F9']	4
279	0.4524	['F0', 'F11', 'F5', 'F6']	4
280	0.1305	['F0', 'F11', 'F5', 'F8']	4
281	0.4524	['F0', 'F11', 'F5', 'F9']	4
282	0.1305	['F0', 'F11', 'F6', 'F8']	4
283	0.4524	['F0', 'F11', 'F6', 'F9']	4
284	0.1305	['F0', 'F11', 'F8', 'F9']	4
285	0.4524	['F0', 'F12', 'F13', 'F2']	4
286	0.4524	['F0', 'F12', 'F13', 'F3']	4
287	0.4524	['F0', 'F12', 'F13', 'F5']	4
288	0.4524	['F0', 'F12', 'F13', 'F6']	4
289	0.1305	['F0', 'F12', 'F13', 'F8']	4
290	0.4524	['F0', 'F12', 'F13', 'F9']	4
291	0.4524	['F0', 'F12', 'F2', 'F3']	4
292	0.4524	['F0', 'F12', 'F2', 'F5']	4
293	0.4524	['F0', 'F12', 'F2', 'F6']	4
294	0.1305	['F0', 'F12', 'F2', 'F8']	4
295	0.4524	['F0', 'F12', 'F2', 'F9']	4
296	0.4524	['F0', 'F12', 'F3', 'F5']	4
297	0.4524	['F0', 'F12', 'F3', 'F6']	4
298	0.1305	['F0', 'F12', 'F3', 'F8']	4
299	0.4524	['F0', 'F12', 'F3', 'F9']	4
300	0.4524	['F0', 'F12', 'F5', 'F6']	4
301	0.1305	['F0', 'F12', 'F5', 'F8']	4
302	0.4524	['F0', 'F12', 'F5', 'F9']	4
303	0.1305	['F0', 'F12', 'F6', 'F8']	4
304	0.4524	['F0', 'F12', 'F6', 'F9']	4
305	0.1305	['F0', 'F12', 'F8', 'F9']	4
306	0.4524	['F0', 'F13', 'F2', 'F3']	4
307	0.4524	['F0', 'F13', 'F2', 'F5']	4
308	0.4524	['F0', 'F13', 'F2', 'F6']	4
309	0.1305	['F0', 'F13', 'F2', 'F8']	4
310	0.4524	['F0', 'F13', 'F2', 'F9']	4
311	0.4524	['F0', 'F13', 'F3', 'F5']	4
312	0.4524	['F0', 'F13', 'F3', 'F6']	4
313	0.1305	['F0', 'F13', 'F3', 'F8']	4
314	0.4524	['F0', 'F13', 'F3', 'F9']	4
315	0.4524	['F0', 'F13', 'F5', 'F6']	4
316	0.1305	['F0', 'F13', 'F5', 'F8']	4
317	0.4524	['F0', 'F13', 'F5', 'F9']	4
318	0.1305	['F0', 'F13', 'F6', 'F8']	4
319	0.4524	['F0', 'F13', 'F6', 'F9']	4
320	0.1305	['F0', 'F13', 'F8', 'F9']	4
321	0.4524	['F0', 'F2', 'F3', 'F5']	4
322	0.4524	['F0', 'F2', 'F3', 'F6']	4
323	0.1305	['F0', 'F2', 'F3', 'F8']	4
324	0.4524	['F0', 'F2', 'F3', 'F9']	4
325	0.1893	['F0', 'F2', 'F4', 'F6']	4
326	0.1893	['F0', 'F2', 'F4', 'F7']	4
327	0.1893	['F0', 'F2', 'F4', 'F8']	4
328	0.1893	['F0', 'F2', 'F4', 'F9']	4
329	0.4524	['F0', 'F2', 'F5', 'F6']	4
330	0.1305	['F0', 'F2', 'F5', 'F8']	4
331	0.4524	['F0', 'F2', 'F5', 'F9']	4
332	0.1893	['F0', 'F2', 'F6', 'F7']	4
333	0.3198	['F0', 'F2', 'F6', 'F8']	4
334	0.6417	['F0', 'F2', 'F6', 'F9']	4
335	0.1893	['F0', 'F2', 'F7', 'F8']	4
336	0.1893	['F0', 'F2', 'F7', 'F9']	4
337	0.3198	['F0', 'F2', 'F8', 'F9']	4
338	0.4524	['F0', 'F3', 'F5', 'F6']	4
339	0.1305	['F0', 'F3', 'F5', 'F8']	4
340	0.4524	['F0', 'F3', 'F5', 'F9']	4
341	0.1305	['F0', 'F3', 'F6', 'F8']	4
342	0.4524	['F0', 'F3', 'F6', 'F9']	4
343	0.1305	['F0', 'F3', 'F8', 'F9']	4
344	0.1893	['F0', 'F4', 'F6', 'F7']	4
345	0.1893	['F0', 'F4', 'F6', 'F8']	4
346	0.1893	['F0', 'F4', 'F6', 'F9']	4
347	0.1893	['F0', 'F4', 'F7', 'F8']	4
348	0.1893	['F0', 'F4', 'F7', 'F9']	4
349	0.1893	['F0', 'F4', 'F8', 'F9']	4
350	0.1305	['F0', 'F5', 'F6', 'F8']	4
351	0.4524	['F0', 'F5', 'F6', 'F9']	4
352	0.1305	['F0', 'F5', 'F8', 'F9']	4
353	0.1893	['F0', 'F6', 'F7', 'F8']	4
354	0.1893	['F0', 'F6', 'F7', 'F9']	4
355	0.3198	['F0', 'F6', 'F8', 'F9']	4
356	0.1893	['F0', 'F7', 'F8', 'F9']	4
357	0.4465	['F1', 'F2', 'F4', 'F6']	4
358	0.4465	['F1', 'F2', 'F4', 'F7']	4
359	0.4465	['F1', 'F2', 'F4', 'F8']	4
360	0.4465	['F1', 'F2', 'F4', 'F9']	4
361	0.4465	['F1', 'F2', 'F6', 'F7']	4
362	0.4465	['F1', 'F2', 'F6', 'F8']	4
363	0.4465	['F1', 'F2', 'F6', 'F9']	4
364	0.4465	['F1', 'F2', 'F7', 'F8']	4
365	0.4465	['F1', 'F2', 'F7', 'F9']	4
366	0.4465	['F1', 'F2', 'F8', 'F9']	4
367	0.4465	['F1', 'F4', 'F6', 'F7']	4
368	0.4465	['F1', 'F4', 'F6', 'F8']	4
369	0.4465	['F1', 'F4', 'F6', 'F9']	4
370	0.4465	['F1', 'F4', 'F7', 'F8']	4
371	0.4465	['F1', 'F4', 'F7', 'F9']	4
372	0.4465	['F1', 'F4', 'F8', 'F9']	4
373	0.4465	['F1', 'F6', 'F7', 'F8']	4
374	0.4465	['F1', 'F6', 'F7', 'F9']	4
375	0.4465	['F1', 'F6', 'F8', 'F9']	4
376	0.4465	['F1', 'F7', 'F8', 'F9']	4
377	0.4524	['F11', 'F12', 'F13', 'F2']	4
378	0.4524	['F11', 'F12', 'F13', 'F3']	4
379	0.4524	['F11', 'F12', 'F13', 'F5']	4
380	0.4524	['F11', 'F12', 'F13', 'F6']	4
381	0.1305	['F11', 'F12', 'F13', 'F8']	4
382	0.4524	['F11', 'F12', 'F13', 'F9']	4
383	0.4524	['F11', 'F12', 'F2', 'F3']	4
384	0.4524	['F11', 'F12', 'F2', 'F5']	4
385	0.4524	['F11', 'F12', 'F2', 'F6']	4
386	0.1305	['F11', 'F12', 'F2', 'F8']	4
387	0.4524	['F11', 'F12', 'F2', 'F9']	4
388	0.4524	['F11', 'F12', 'F3', 'F5']	4
389	0.4524	['F11', 'F12', 'F3', 'F6']	4
390	0.1305	['F11', 'F12', 'F3', 'F8']	4
391	0.4524	['F11', 'F12', 'F3', 'F9']	4
392	0.4524	['F11', 'F12', 'F5', 'F6']	4
393	0.1305	['F11', 'F12', 'F5', 'F8']	4
394	0.4524	['F11', 'F12', 'F5', 'F9']	4
395	0.1305	['F11', 'F12', 'F6', 'F8']	4
396	0.4524	['F11', 'F12', 'F6', 'F9']	4
397	0.1305	['F11', 'F12', 'F8', 'F9']	4
398	0.4524	['F11', 'F13', 'F2', 'F3']	4
399	0.4524	['F11', 'F13', 'F2', 'F5']	4
400	0.4524	['F11', 'F13', 'F2', 'F6']	4
401	0.1305	['F11', 'F13', 'F2', 'F8']	4
402	0.4524	['F11', 'F13', 'F2', 'F9']	4
403	0.4524	['F11', 'F13', 'F3', 'F5']	4
404	0.4524	['F11', 'F13', 'F3', 'F6']	4
405	0.1305	['F11', 'F13', 'F3', 'F8']	4
406	0.4524	['F11', 'F13', 'F3', 'F9']	4
407	0.4524	['F11', 'F13', 'F5', 'F6']	4
408	0.1305	['F11', 'F13', 'F5', 'F8']	4
409	0.4524	['F11', 'F13', 'F5', 'F9']	4
410	0.1305	['F11', 'F13', 'F6', 'F8']	4
411	0.4524	['F11', 'F13', 'F6', 'F9']	4
412	0.1305	['F11', 'F13', 'F8', 'F9']	4
413	0.4524	['F11', 'F2', 'F3', 'F5']	4
414	0.4524	['F11', 'F2', 'F3', 'F6']	4
415	0.1305	['F11', 'F2', 'F3', 'F8']	4
416	0.4524	['F11', 'F2', 'F3', 'F9']	4
417	0.4524	['F11', 'F2', 'F5', 'F6']	4
418	0.1305	['F11', 'F2', 'F5', 'F8']	4
419	0.4524	['F11', 'F2', 'F5', 'F9']	4
420	0.1305	['F11', 'F2', 'F6', 'F8']	4
421	0.4524	['F11', 'F2', 'F6', 'F9']	4
422	0.1305	['F11', 'F2', 'F8', 'F9']	4
423	0.4524	['F11', 'F3', 'F5', 'F6']	4
424	0.1305	['F11', 'F3', 'F5', 'F8']	4
425	0.4524	['F11', 'F3', 'F5', 'F9']	4
426	0.1305	['F11', 'F3', 'F6', 'F8']	4
427	0.4524	['F11', 'F3', 'F6', 'F9']	4
428	0.1305	['F11', 'F3', 'F8', 'F9']	4
429	0.1305	['F11', 'F5', 'F6', 'F8']	4
430	0.4524	['F11', 'F5', 'F6', 'F9']	4
431	0.1305	['F11', 'F5', 'F8', 'F9']	4
432	0.1305	['F11', 'F6', 'F8', 'F9']	4
433	0.4524	['F12', 'F13', 'F2', 'F3']	4
434	0.4524	['F12', 'F13', 'F2', 'F5']	4
435	0.4524	['F12', 'F13', 'F2', 'F6']	4
436	0.1305	['F12', 'F13', 'F2', 'F8']	4
437	0.4524	['F12', 'F13', 'F2', 'F9']	4
438	0.4524	['F12', 'F13', 'F3', 'F5']	4
439	0.4524	['F12', 'F13', 'F3', 'F6']	4
440	0.1305	['F12', 'F13', 'F3', 'F8']	4
441	0.4524	['F12', 'F13', 'F3', 'F9']	4
442	0.4524	['F12', 'F13', 'F5', 'F6']	4
443	0.1305	['F12', 'F13', 'F5', 'F8']	4
444	0.4524	['F12', 'F13', 'F5', 'F9']	4
445	0.1305	['F12', 'F13', 'F6', 'F8']	4
446	0.4524	['F12', 'F13', 'F6', 'F9']	4
447	0.1305	['F12', 'F13', 'F8', 'F9']	4
448	0.4524	['F12', 'F2', 'F3', 'F5']	4
449	0.4524	['F12', 'F2', 'F3', 'F6']	4
450	0.1305	['F12', 'F2', 'F3', 'F8']	4
451	0.4524	['F12', 'F2', 'F3', 'F9']	4
452	0.4524	['F12', 'F2', 'F5', 'F6']	4
453	0.1305	['F12', 'F2', 'F5', 'F8']	4
454	0.4524	['F12', 'F2', 'F5', 'F9']	4
455	0.1305	['F12', 'F2', 'F6', 'F8']	4
456	0.4524	['F12', 'F2', 'F6', 'F9']	4
457	0.1305	['F12', 'F2', 'F8', 'F9']	4
458	0.4524	['F12', 'F3', 'F5', 'F6']	4
459	0.1305	['F12', 'F3', 'F5', 'F8']	4
460	0.4524	['F12', 'F3', 'F5', 'F9']	4
461	0.1305	['F12', 'F3', 'F6', 'F8']	4
462	0.4524	['F12', 'F3', 'F6', 'F9']	4
463	0.1305	['F12', 'F3', 'F8', 'F9']	4
464	0.1305	['F12', 'F5', 'F6', 'F8']	4
465	0.4524	['F12', 'F5', 'F6', 'F9']	4
466	0.1305	['F12', 'F5', 'F8', 'F9']	4
467	0.1305	['F12', 'F6', 'F8', 'F9']	4
468	0.4524	['F13', 'F2', 'F3', 'F5']	4
469	0.4524	['F13', 'F2', 'F3', 'F6']	4
470	0.1305	['F13', 'F2', 'F3', 'F8']	4
471	0.4524	['F13', 'F2', 'F3', 'F9']	4
472	0.4524	['F13', 'F2', 'F5', 'F6']	4
473	0.1305	['F13', 'F2', 'F5', 'F8']	4
474	0.4524	['F13', 'F2', 'F5', 'F9']	4
475	0.1305	['F13', 'F2', 'F6', 'F8']	4
476	0.4524	['F13', 'F2', 'F6', 'F9']	4
477	0.1305	['F13', 'F2', 'F8', 'F9']	4
478	0.4524	['F13', 'F3', 'F5', 'F6']	4
479	0.1305	['F13', 'F3', 'F5', 'F8']	4
480	0.4524	['F13', 'F3', 'F5', 'F9']	4
481	0.1305	['F13', 'F3', 'F6', 'F8']	4
482	0.4524	['F13', 'F3', 'F6', 'F9']	4
483	0.1305	['F13', 'F3', 'F8', 'F9']	4
484	0.1305	['F13', 'F5', 'F6', 'F8']	4
485	0.4524	['F13', 'F5', 'F6', 'F9']	4
486	0.1305	['F13', 'F5', 'F8', 'F9']	4
487	0.1305	['F13', 'F6', 'F8', 'F9']	4
488	0.4524	['F2', 'F3', 'F5', 'F6']	4
489	0.1305	['F2', 'F3', 'F5', 'F8']	4
490	0.4524	['F2', 'F3', 'F5', 'F9']	4
491	0.1305	['F2', 'F3', 'F6', 'F8']	4
492	0.4524	['F2', 'F3', 'F6', 'F9']	4
493	0.1305	['F2', 'F3', 'F8', 'F9']	4
494	0.4465	['F2', 'F4', 'F6', 'F7']	4
495	0.4465	['F2', 'F4', 'F6', 'F8']	4
496	0.4465	['F2', 'F4', 'F6', 'F9']	4
497	0.4465	['F2', 'F4', 'F7', 'F8']	4
498	0.4465	['F2', 'F4', 'F7', 'F9']	4
499	0.4465	['F2', 'F4', 'F8', 'F9']	4
500	0.1305	['F2', 'F5', 'F6', 'F8']	4
501	0.4524	['F2', 'F5', 'F6', 'F9']	4
502	0.1305	['F2', 'F5', 'F8', 'F9']	4
503	0.4465	['F2', 'F6', 'F7', 'F8']	4
504	0.4465	['F2', 'F6', 'F7', 'F9']	4
505	0.577	['F2', 'F6', 'F8', 'F9']	4
506	0.4465	['F2', 'F7', 'F8', 'F9']	4
507	0.1305	['F3', 'F5', 'F6', 'F8']	4
508	0.4524	['F3', 'F5', 'F6', 'F9']	4
509	0.1305	['F3', 'F5', 'F8', 'F9']	4
510	0.1305	['F3', 'F6', 'F8', 'F9']	4
511	0.4465	['F4', 'F6', 'F7', 'F8']	4
512	0.4465	['F4', 'F6', 'F7', 'F9']	4
513	0.4465	['F4', 'F6', 'F8', 'F9']	4
514	0.4465	['F4', 'F7', 'F8', 'F9']	4
515	0.1305	['F5', 'F6', 'F8', 'F9']	4
516	0.4465	['F6', 'F7', 'F8', 'F9']	4
517	0.1893	['F0', 'F1', 'F2', 'F4', 'F6']	5
518	0.1893	['F0', 'F1', 'F2', 'F4', 'F7']	5
519	0.1893	['F0', 'F1', 'F2', 'F4', 'F8']	5
520	0.1893	['F0', 'F1', 'F2', 'F4', 'F9']	5
521	0.1893	['F0', 'F1', 'F2', 'F6', 'F7']	5
522	0.1893	['F0', 'F1', 'F2', 'F6', 'F8']	5
523	0.1893	['F0', 'F1', 'F2', 'F6', 'F9']	5
524	0.1893	['F0', 'F1', 'F2', 'F7', 'F8']	5
525	0.1893	['F0', 'F1', 'F2', 'F7', 'F9']	5
526	0.1893	['F0', 'F1', 'F2', 'F8', 'F9']	5
527	0.1893	['F0', 'F1', 'F4', 'F6', 'F7']	5
528	0.1893	['F0', 'F1', 'F4', 'F6', 'F8']	5
529	0.1893	['F0', 'F1', 'F4', 'F6', 'F9']	5
530	0.1893	['F0', 'F1', 'F4', 'F7', 'F8']	5
531	0.1893	['F0', 'F1', 'F4', 'F7', 'F9']	5
532	0.1893	['F0', 'F1', 'F4', 'F8', 'F9']	5
533	0.1893	['F0', 'F1', 'F6', 'F7', 'F8']	5
534	0.1893	['F0', 'F1', 'F6', 'F7', 'F9']	5
535	0.1893	['F0', 'F1', 'F6', 'F8', 'F9']	5
